"InventoryID","ProductID","QuantityOnHand","ReorderLevel","LastUpdated"
1,1,6,4,12/31/2026 0:00:00
2,2,6,4,12/31/2026 0:00:00
3,3,6,4,12/31/2026 0:00:00
4,4,6,4,12/31/2026 0:00:00
5,5,6,4,12/31/2026 0:00:00
6,6,6,4,12/31/2026 0:00:00
7,7,6,4,12/31/2026 0:00:00
8,8,12,8,12/31/2026 0:00:00
9,9,8,5,12/31/2026 0:00:00
10,10,15,10,12/31/2026 0:00:00
11,11,21,14,12/31/2026 0:00:00
12,12,28,18,12/31/2026 0:00:00
13,13,21,14,12/31/2026 0:00:00
14,14,15,10,12/31/2026 0:00:00
15,15,21,14,12/31/2026 0:00:00
16,16,21,14,12/31/2026 0:00:00
17,17,15,10,12/31/2026 0:00:00
18,18,15,10,12/31/2026 0:00:00
19,19,21,14,12/31/2026 0:00:00
20,20,15,10,12/31/2026 0:00:00
21,21,27,18,12/31/2026 0:00:00
22,22,27,18,12/31/2026 0:00:00
23,23,27,18,12/31/2026 0:00:00
24,24,27,18,12/31/2026 0:00:00
25,25,27,18,12/31/2026 0:00:00
26,26,15,10,12/31/2026 0:00:00
27,27,21,14,12/31/2026 0:00:00
28,28,15,10,12/31/2026 0:00:00
29,29,27,18,12/31/2026 0:00:00
30,30,21,14,12/31/2026 0:00:00
31,31,16,10,12/31/2026 0:00:00
32,32,21,14,12/31/2026 0:00:00
33,33,21,14,12/31/2026 0:00:00
34,34,15,10,12/31/2026 0:00:00
35,35,15,10,12/31/2026 0:00:00
36,36,15,10,12/31/2026 0:00:00
37,37,21,14,12/31/2026 0:00:00
38,38,27,18,12/31/2026 0:00:00
39,39,27,18,12/31/2026 0:00:00
40,40,27,18,12/31/2026 0:00:00
41,41,27,18,12/31/2026 0:00:00
42,42,21,14,12/31/2026 0:00:00
43,43,27,18,12/31/2026 0:00:00
44,44,21,14,12/31/2026 0:00:00
45,45,21,14,12/31/2026 0:00:00
46,46,21,14,12/31/2026 0:00:00
47,47,21,14,12/31/2026 0:00:00
48,48,21,14,12/31/2026 0:00:00
49,49,15,10,12/31/2026 0:00:00
50,50,27,18,12/31/2026 0:00:00
51,51,27,18,12/31/2026 0:00:00
52,52,22,14,12/31/2026 0:00:00
53,53,15,10,12/31/2026 0:00:00
54,54,15,10,12/31/2026 0:00:00
55,55,15,10,12/31/2026 0:00:00
56,56,12,8,12/31/2026 0:00:00
57,57,12,8,12/31/2026 0:00:00
