ProductID,SupplierID,SupplierProductCode,UnitCost,LeadTimeDays,IsPrimarySupplier
1,1,NS-CMP-001,560.99,5,1
1,4,PT-CMP-001,590.74,5,0
2,1,NS-CMP-002,646.79,5,1
2,4,PT-CMP-002,681.09,5,0
3,1,NS-CMP-003,428.99,5,1
3,4,PT-CMP-003,451.74,5,0
4,1,NS-CMP-004,844.14,5,1
4,4,PT-CMP-004,888.91,5,0
5,1,NS-CMP-005,560.34,5,1
5,6,VH-CMP-005,624.01,8,0
6,1,NS-CMP-006,778.79,5,1
6,6,VH-CMP-006,867.29,8,0
7,1,NS-CMP-007,461.99,5,1
7,6,VH-CMP-007,514.49,8,0
8,1,NS-CMP-008,145.19,5,1
8,9,OT-CMP-008,159.49,6,0
9,1,NS-CMP-009,217.79,5,1
9,9,OT-CMP-009,239.24,6,0
10,1,NS-CMP-010,56.09,5,1
10,9,OT-CMP-010,61.62,6,0
11,1,NS-CMP-011,29.69,5,1
12,1,NS-CMP-012,17.81,5,1
13,1,NS-CMP-013,36.29,5,1
14,1,NS-CMP-014,98.99,5,1
15,1,NS-CMP-015,29.69,5,1
16,2,AP-CON-001,37.39,6,1
16,3,CL-CON-001,39.87,7,0
17,2,AP-CON-002,64.59,6,1
17,3,CL-CON-002,68.87,7,0
18,2,AP-CON-003,61.19,6,1
18,3,CL-CON-003,65.24,7,0
19,2,AP-CON-004,47.59,6,1
19,10,SN-CON-004,52.84,8,0
20,2,AP-CON-005,88.39,6,1
20,10,SN-CON-005,98.14,8,0
21,2,AP-CON-006,15.63,6,1
21,7,CP-CON-006,17.13,5,0
22,2,AP-CON-007,13.59,6,1
22,7,CP-CON-007,14.89,5,0
23,2,AP-CON-008,23.79,6,1
23,7,CP-CON-008,26.07,5,0
24,2,AP-CON-009,7.47,6,1
24,7,CP-CON-009,8.19,5,0
25,2,AP-CON-010,13.59,6,1
25,10,SN-CON-010,15.09,8,0
26,8,SW-AUD-001,57.79,7,1
26,12,UI-AUD-001,63.32,9,0
27,8,SW-AUD-002,37.39,7,1
27,12,UI-AUD-002,40.97,9,0
28,8,SW-AUD-003,67.99,7,1
28,9,OT-AUD-003,72.49,6,0
29,8,SW-AUD-004,23.79,7,1
29,9,OT-AUD-004,25.37,6,0
30,8,SW-AUD-005,40.79,7,1
30,9,OT-AUD-005,43.49,6,0
31,8,SW-AUD-006,81.59,7,1
31,12,UI-AUD-006,89.39,9,0
32,8,SW-AUD-007,47.59,7,1
33,8,SW-AUD-008,30.59,7,1
34,8,SW-AUD-009,80.92,7,1
35,8,SW-AUD-010,54.39,7,1
36,8,SW-AUD-011,50.99,7,1
37,6,VH-ACC-001,40.42,8,0
37,9,OT-ACC-001,38.49,6,1
38,6,VH-ACC-002,22.04,8,0
38,9,OT-ACC-002,20.99,6,1
39,6,VH-ACC-003,25.72,8,0
39,9,OT-ACC-003,24.49,6,1
40,7,CP-ACC-004,11.17,5,0
40,9,OT-ACC-004,10.49,6,1
41,7,CP-ACC-005,14.89,5,0
41,9,OT-ACC-005,13.99,6,1
42,7,CP-ACC-006,52.14,5,0
42,9,OT-ACC-006,48.99,6,1
43,9,OT-ACC-007,20.99,6,1
43,12,UI-ACC-007,22.34,9,0
44,9,OT-ACC-008,34.99,6,1
44,12,UI-ACC-008,37.24,9,0
45,9,OT-ACC-009,27.99,6,1
45,12,UI-ACC-009,29.79,9,0
46,9,OT-ACC-010,38.49,6,1
47,9,OT-ACC-011,31.49,6,1
48,9,OT-ACC-012,27.99,6,1
49,9,OT-ACC-013,59.49,6,1
50,5,DE-STO-001,10.72,6,0
50,11,DC-STO-001,10.04,6,1
51,5,DE-STO-002,15.72,6,0
51,11,DC-STO-002,14.73,6,1
52,5,DE-STO-003,28.59,6,0
52,11,DC-STO-003,26.79,6,1
53,5,DE-STO-004,60.77,6,0
53,11,DC-STO-004,56.94,6,1
54,11,DC-STO-005,73.69,6,1
54,12,UI-STO-005,81.94,9,0
55,11,DC-STO-006,63.64,6,1
55,12,UI-STO-006,70.77,9,0
56,11,DC-STO-007,100.49,6,1
56,12,UI-STO-007,111.74,9,0
57,11,DC-STO-008,160.79,6,1
57,12,UI-STO-008,178.79,9,0
