PurchaseDetailID,PurchaseID,ProductID,Quantity,UnitCost
1,1,8,5,145.19
2,1,9,5,217.79
3,1,10,5,56.09
4,2,1,5,560.99
5,2,2,5,646.79
6,2,3,5,428.99
7,3,9,5,217.79
8,3,10,4,56.09
9,3,11,5,29.69
10,4,5,5,560.34
11,4,6,5,778.79
12,4,7,5,461.99
13,5,15,5,29.69
14,5,1,4,560.99
15,5,2,5,646.79
16,6,14,5,98.99
17,6,15,5,29.69
18,6,2,2,646.79
19,7,15,5,29.69
20,7,3,3,428.99
21,7,4,5,844.14
22,8,6,5,778.79
23,8,7,1,461.99
24,8,11,5,29.69
25,9,4,5,844.14
26,9,5,2,560.34
27,9,11,5,29.69
28,10,14,5,98.99
29,10,15,5,29.69
30,10,4,1,844.14
31,11,13,5,36.29
32,11,14,3,98.99
33,11,15,5,29.69
34,12,11,5,29.69
35,12,12,5,17.81
36,12,13,5,36.29
37,13,12,5,17.81
38,13,13,5,36.29
39,13,11,5,29.69
40,14,13,5,36.29
41,14,11,4,29.69
42,14,12,5,17.81
43,15,13,5,36.29
44,15,12,1,17.81
45,16,13,2,36.29
46,17,25,5,13.59
47,17,16,5,37.39
48,17,17,5,64.59
49,18,22,5,13.59
50,18,23,5,23.79
51,18,24,5,7.47
52,19,19,5,47.59
53,19,20,5,88.39
54,19,21,5,15.63
55,20,16,5,37.39
56,20,17,5,64.59
57,20,18,4,61.19
58,21,23,4,23.79
59,21,24,4,7.47
60,21,25,4,13.59
61,22,20,4,88.39
62,22,21,4,15.63
63,22,22,4,13.59
64,23,17,2,64.59
65,23,18,4,61.19
66,23,19,4,47.59
67,24,23,4,23.79
68,24,24,4,7.47
69,24,25,4,13.59
70,25,25,4,13.59
71,25,16,4,37.39
72,25,18,1,61.19
73,26,16,2,37.39
74,26,19,4,47.59
75,26,20,2,88.39
76,27,25,4,13.59
77,27,19,4,47.59
78,27,21,4,15.63
79,28,21,2,15.63
80,28,22,4,13.59
81,28,24,4,7.47
82,29,25,4,13.59
83,29,19,4,47.59
84,29,22,4,13.59
85,30,22,4,13.59
86,30,24,3,7.47
87,30,25,2,13.59
88,31,22,1,13.59
89,32,30,4,40.79
90,32,31,4,81.59
91,32,32,4,47.59
92,33,26,4,57.79
93,33,27,4,37.39
94,33,28,4,67.99
95,34,33,4,30.59
96,34,34,4,80.92
97,34,35,4,54.39
98,35,29,4,23.79
99,35,30,4,40.79
100,35,31,4,81.59
101,36,36,4,50.99
102,36,26,4,57.79
103,36,27,4,37.39
104,37,32,4,47.59
105,37,33,4,30.59
106,37,34,4,80.92
107,38,28,4,67.99
108,38,29,4,23.79
109,38,30,4,40.79
110,39,35,4,54.39
111,39,36,4,50.99
112,39,26,1,57.79
113,40,27,4,37.39
114,40,28,3,67.99
115,40,29,4,23.79
116,41,36,4,50.99
